MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13006165,2013,Jan,19,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2304,4F,Code 1,-,"(30355673, 97683941)"
13006178,2013,Jan,19,Fire,GRASS - Small Grass Fire,B4,AFD,00-1701,2F,Code 3,-,"(30227318, 97773388)"
13006187,2013,Jan,19,Fire,GRASS - Small Grass Fire,B5,AFD,00-1504,2F,Code 3,-,"(30268445, 97697232)"
13006201,2013,Jan,19,Fire,DUMP - Dumpster Fire,B2,AFD,00-3809,3F,Code 3,-,"(30442271, 97771441)"
13006234,2013,Jan,19,Fire,ELEC - Electrical Fire,B4,AFD,00-2906,3F,Code 3,-,"(30182767, 97858385)"
13006244,2013,Jan,19,Fire,BOXL- Structure Fire,B5,AFD,00-2402,1F,Code 3,-,"(30197054, 97748432)"
13006259,2013,Jan,19,Fire,TRASH - Trash Fire,B1,AFD,00-1604,3F,Code 3,-,"(30322222, 97718456)"
13006289,2013,Jan,19,Fire,AUTO - Auto Fire,B3,AFD,00-1406,2F,Code 3,-,"(30306012, 97714756)"
13006304,2013,Jan,19,Fire,TRASH - Trash Fire,B1,AFD,00-0201,3F,Code 3,-,"(30283104, 97746735)"
13006427,2013,Jan,20,Fire,ELEC - Electrical Fire,B5,AFD,00-0603,3F,Code 3,-,"(30244027, 97757963)"
13006511,2013,Jan,20,Fire,TRASH - Trash Fire,B5,AFD,00-0702,3F,Code 3,-,"(30263332, 97706211)"
13006524,2013,Jan,20,Fire,TRASH - Trash Fire,B5,AFD,00-3502,3F,Code 3,-,"(30221114, 97737424)"
13006655,2013,Jan,21,Fire,ELEC - Electrical Fire,B5,AFD,00-0502,3F,Code 3,-,"(30278162, 97692771)"
13006708,2013,Jan,21,Fire,AUTO - Auto Fire,B2,AFD,00-3902,2F,Code 3,-,"(30395304, 97827687)"
13006760,2013,Jan,21,Fire,TRASH - Trash Fire,B3,AFD,00-1804,3F,Code 1,-,"(30333595, 97691972)"
13006795,2013,Jan,21,Fire,GRASS - Small Grass Fire,B4,AFD,00-4302,2F,Code 3,-,"(30183628, 97898014)"
13006850,2013,Jan,21,Fire,AUTO - Auto Fire,B2,AFD,00-2501,2F,Code 3,-,"(30424853, 97750204)"
13006900,2013,Jan,21,Fire,GRASS - Small Grass Fire,B3,AFD,00-4002,2F,Code 3,-,"(30386272, 97646935)"
