Name,Position,Salary
Stephen Curry,Point Guard,37457154
Chris Paul,Point Guard,35654150
Russell Westbrook,Point Guard,35654150
LeBron James,Small Forward,35654150
Blake Griffin,Power Forward,31873932
Gordon Hayward,Small Forward,31214295
Kyle Lowry,Point Guard,31000000
Paul George,Small Forward,30560700
Mike Conley,Point Guard,30521115
James Harden,Shooting Guard,30421854
Kevin Durant,Small Forward,30000000
Paul Millsap,Power Forward,29230769
Al Horford,Center,28928709
Damian Lillard,Point Guard,27977689
DeMar DeRozan,Shooting Guard,27739975
Otto Porter Jr.,Small Forward,26011913
C.J. McCollum,Shooting Guard,25759766
Joel Embiid,Center,25467250
Andrew Wiggins,Small Forward,25467250
Hassan Whiteside,Center,25434263
Andre Drummond,Center,25434263
Anthony Davis,Power Forward,25434263
Bradley Beal,Shooting Guard,25434263
Jrue Holiday,Point Guard,25396111
Nikola Jokic,Center,24605181
Steven Adams,Center,24157303
Giannis Antetokounmpo,Power Forward,24157303
Kevin Love,Center,24119025
Marc Gasol,Center,24119025
Chandler Parsons,Small Forward,24107258
Harrison Barnes,Small Forward,24107258
Nicolas Batum,Shooting Guard,24000000
DeAndre Jordan,Center,22897200
Rudy Gobert,Center,22741573
LaMarcus Aldridge,Power Forward,22347015
Serge Ibaka,Power Forward,21666667
Aaron Gordon,Power Forward,21590909
Danilo Gallinari,Small Forward,21587579
Victor Oladipo,Shooting Guard,21000000
Ryan Anderson,Power Forward,20421546
Kyrie Irving,Point Guard,20099188
Kawhi Leonard,Small Forward,20099188
Jabari Parker,Power Forward,20000000
Zach LaVine,Shooting Guard,19500000
Tyler Johnson,Shooting Guard,19245370
John Wall,Point Guard,19169800
George Hill,Point Guard,19000000
Jeff Teague,Point Guard,19000000
Klay Thompson,Shooting Guard,18988725
Jimmy Butler,Shooting Guard,18691627
Allen Crabbe,Shooting Guard,18500000
Goran Dragic,Point Guard,18109175
Kent Bazemore,Shooting Guard,18089887
Evan Turner,Small Forward,17868852
Tristan Thompson,Center,17469565
Draymond Green,Power Forward,17469565
Tim Hardaway Jr.,Shooting Guard,17325000
Reggie Jackson,Point Guard,17043478
Evan Fournier,Shooting Guard,17000000
Bismack Biyombo,Center,17000000
Jonas Valanciunas,Center,16539326
Gary Harris,Shooting Guard,16517857
Timofey Mozgov,Center,16000000
Derrick Favors,Power Forward,16000000
Andre Iguodala,Small Forward,16000000
Ian Mahinmi,Center,15944154
Dennis Schröder,Point Guard,15500000
DeMarre Carroll,Small Forward,15400000
Gorgui Dieng,Center,15170787
Eric Bledsoe,Point Guard,15000000
Trevor Ariza,Small Forward,15000000
Tobias Harris,Small Forward,14800000
