tweet_id,handle,retweet_count,text,mined_at,created_at
1227661700264013826,Donald J. Trump,7880,"....If my hands were tied, Iran would have a field day. Sends a very bad signal. The Democrats are only doing this… https://t.co/DrFaJTOTeA",2020-02-12 14:18:36.494243,Wed Feb 12 18:32:12 +0000 2020
1227661693376962561,Donald J. Trump,11919,It is very important for our Country’s SECURITY that the United States Senate not vote for the Iran War Powers Reso… https://t.co/H24iulrbdj,2020-02-12 14:18:37.532099,Wed Feb 12 18:32:11 +0000 2020
1227610766662127616,Donald J. Trump,21893,https://t.co/I0eZ9UoIQJ,2020-02-12 14:18:37.532108,Wed Feb 12 15:09:49 +0000 2020
1227605423580119040,Donald J. Trump,5720,RT @WMUR9: Crowd erupts at ⁦@POTUS⁩ rally in Bedford after NH Republican Party Chair announces AP reporting President Trump wins NH. #NHPol…,2020-02-12 14:18:37.532110,Wed Feb 12 14:48:35 +0000 2020
1227604830509817857,Donald J. Trump,9378,".@dagenmcdowell, “Every Democrat is running to raise taxes. She (Pocahontas) lied about her ethnicity, that was her… https://t.co/9IdSx69sTs",2020-02-12 14:18:37.532113,Wed Feb 12 14:46:14 +0000 2020
1227564604177469441,Donald J. Trump,19340,"Two months in jail for a Swamp Creature, yet 9 years recommended for Roger Stone (who was not even working for the… https://t.co/ZOe3CjSzbA",2020-02-12 14:18:37.532116,Wed Feb 12 12:06:23 +0000 2020
1227561237782855680,Donald J. Trump,28175,Congratulations to Attorney General Bill Barr for taking charge of a case that was totally out of control and perha… https://t.co/vqkkJAFZzf,2020-02-12 14:18:37.532117,Wed Feb 12 11:53:00 +0000 2020
1227556935299457024,Donald J. Trump,19401,Fake News @CNN and MSDNC have not surprisingly refused to talk about my record setting number of voters in New Hamp… https://t.co/iHFCvoCRSQ,2020-02-12 14:18:37.532119,Wed Feb 12 11:35:54 +0000 2020
1227453711540269057,Donald J. Trump,25180,"The Fake News Media is looking hard for the Big Democrat Story, but there is nothing too fabulous. Wouldn’t a big s… https://t.co/iYBjtw4itX",2020-02-12 14:18:37.532121,Wed Feb 12 04:45:44 +0000 2020
1227443801599418370,Donald J. Trump,11597,Thank you Brad! https://t.co/qv4qcj704y,2020-02-12 14:18:37.532124,Wed Feb 12 04:06:21 +0000 2020
1227441882793480196,Donald J. Trump,10701,Prosecutorial Misconduct? https://t.co/ignPtwRQUG,2020-02-12 14:18:37.532126,Wed Feb 12 03:58:44 +0000 2020
1227432921788801024,Donald J. Trump,14425,Bootedgeedge (Buttigieg) is doing pretty well tonight. Giving Crazy Bernie a run for his money. Very interesting!,2020-02-12 14:18:37.532128,Wed Feb 12 03:23:07 +0000 2020
1227427722441510912,Donald J. Trump,14264,A very bad night for Mini Mike!,2020-02-12 14:18:37.532130,Wed Feb 12 03:02:28 +0000 2020
